scheme,level,paper_name,classical_security,operation,iterations,warmup,avg_cycles,median_cycles,avg_us,median_us,pk_bytes,ct_bytes,sk_bytes,kappa,n,k,t,pure_shake,opt_status,failures
Lore-SHAKE,L1,Lore-128,128-bit,kem_keygen,10000,1000,86572,87010,29.95,30.10,610,706,2108,128,512,1,2,YES,AB_inline,0
Lore-SHAKE,L1,Lore-128,128-bit,kem_encaps,10000,1000,156598,156578,54.15,54.15,610,706,2108,128,512,1,2,YES,AB_inline,0
Lore-SHAKE,L1,Lore-128,128-bit,kem_decaps,10000,1000,210590,210314,72.82,72.73,610,706,2108,128,512,1,2,YES,AB_inline,0
Lore-SHAKE,L2,Lore-256,256-bit,kem_keygen,10000,1000,246951,245526,85.39,84.90,1186,1282,4518,256,512,2,2,YES,AB_inline,0
Lore-SHAKE,L2,Lore-256,256-bit,kem_encaps,10000,1000,368292,367888,127.34,127.20,1186,1282,4518,256,512,2,2,YES,AB_inline,0
Lore-SHAKE,L2,Lore-256,256-bit,kem_decaps,10000,1000,436003,435686,150.75,150.64,1186,1282,4518,256,512,2,2,YES,AB_inline,0
Lore-SHAKE,L3,Lore-384,384-bit,kem_keygen,10000,1000,568801,556432,196.65,192.37,1954,2114,7976,384,512,3,4,YES,AB_inline,0
Lore-SHAKE,L3,Lore-384,384-bit,kem_encaps,10000,1000,686315,684582,237.27,236.67,1954,2114,7976,384,512,3,4,YES,AB_inline,0
Lore-SHAKE,L3,Lore-384,384-bit,kem_decaps,10000,1000,862832,847796,298.29,293.08,1954,2114,7976,384,512,3,4,YES,AB_inline,0
Lore-SHAKE,L4,Lore-512,512-bit,kem_keygen,10000,1000,961304,949204,332.32,328.13,2914,3170,11672,512,768,3,4,YES,AB_inline,0
Lore-SHAKE,L4,Lore-512,512-bit,kem_encaps,10000,1000,1255984,1242682,434.18,429.57,2914,3170,11672,512,768,3,4,YES,AB_inline,0
Lore-SHAKE,L4,Lore-512,512-bit,kem_decaps,10000,1000,1527428,1504752,528.00,520.16,2914,3170,11672,512,768,3,4,YES,AB_inline,0
